,season,home_xGoals,home_shots,home_deep,home_ppda,home_fouls,home_total_xAssists,home_total_key_passes,home_total_xGoalsChain,away_xGoals,away_shots,away_deep,away_ppda,away_fouls,away_total_xAssists,away_total_key_passes,away_total_xGoalsChain,away_total_yellow_cards,home_redCards_binary,away_redCards_binary,home_yellowCards_cat,away_yellowCards_cat,home_shotsOnTarget_cat,away_shotsOnTarget_cat,home_corners_cat,away_corners_cat,home_total_blocked_shots_cat,away_total_blocked_shots_cat,home_total_saved_shots_cat,away_total_saved_shots_cat,time_category,away_rolling_xchain,home_discipline_score_avg,away_discipline_score_avg,gameresult
4703,2014,1.75331,10.0,3.0,10.5172,17.0,1.0303226839751003,7.0,4.515223212540152,1.38084,13.0,13.0,3.4651,22.0,1.0069466345012188,12.0,3.096435453742742,3,False,False,1,3,3,6,6,5,2,6,2,6,After Noon,0.9079824220389131,-16.63888426697659,-19.555550123458296,2
4704,2014,0.522276,10.0,4.0,13.08,12.597073719752391,0.3864300632849332,6.0,0.6894976664334532,0.913337,19.0,2.0,7.069,16.0,0.7723269909620281,12.0,1.726705359295011,2,False,False,2,2,3,4,3,6,3,4,3,4,After Noon,1.1193788662552837,-16.567563089847813,-19.810805456539065,1
4012,2014,2.02939,27.0,12.0,7.0526,11.0,1.24398909509182,21.0,5.339380733668803,0.550894,6.0,1.0,9.1563,11.0,0.5508938198909167,6.0,1.5988467941060676,1,False,False,0,1,10,4,8,7,8,2,8+,4,After Noon,0.8241879597306255,-16.421048310250445,-19.52631065097088,2
4013,2014,0.617283,9.0,7.0,8.1515,14.0,0.5963252112269396,8.0,2.1556571982800956,1.33957,17.0,6.0,9.0455,11.0,0.880168687552214,14.0,2.9580395221710196,3,False,False,1,3,4,8,6,9,2,5,3,5,After Noon,1.2341788429766893,-16.256406088101002,-19.256405318870428,0
4014,2014,0.665853,9.0,5.0,7.4444,14.0,0.6312088854610923,8.0,1.9698195904493325,0.665791,8.0,2.0,12.3913,15.0,0.5894055953249339,5.0,2.475879028439522,2,False,False,1,2,2,2,1,5,2,2,2,2,After Noon,1.163409363105893,-16.249995937501016,-19.72499506875123,1
4015,2014,0.914215,10.0,2.0,14.0,14.0,0.724966555833817,6.0,3.106578074395657,0.843331,12.0,9.0,13.75,13.0,0.5807391144335264,7.0,3.2660511583089824,1,False,False,2,1,5,1,2,3,3,5,3,1,After Noon,2.159130583330989,-16.317069190958733,-19.682922028555602,2
5458,2014,0.452052,4.0,2.0,7.8485,16.0,0.38674073666334097,2.0,1.8819362223148337,0.708459,16.0,3.0,8.0,14.0,0.636833431199193,13.0,2.500817317515611,3,False,False,1,3,2,3,4,6,0,4,2,2,After Noon,3.799975876882674,-16.238091371883005,-19.76190005669046,0
4016,2014,1.33429,8.0,3.0,15.8824,10.0,1.2710033766925337,6.0,4.145085655152798,1.43355,13.0,8.0,7.7879,18.0,1.3021941678598516,10.0,7.318945378065116,4,False,False,1,4,2,3,3,3,2,1,0,1,After Noon,3.879567876458169,-16.139531130341595,-19.48836756084475,1
4705,2014,0.482324,11.0,2.0,3.3333,13.0,0.207926956936717,8.0,0.5345506649464365,1.14915,11.0,5.0,5.8,13.0,0.9999261312186727,7.0,3.8435272201895714,2,False,False,1,2,4,2,8,4,4,5,6,0,After Noon,3.5853692743927246,-16.113632701447113,-19.43181376549687,0
5078,2014,1.32107,12.0,4.0,12.0714,13.0,0.117496907711029,5.0,0.6417757328599693,1.14151,12.0,5.0,6.3,9.0,1.027075751684606,10.0,3.9325005728751434,3,True,False,3,3,3,5,5,4,4,2,2,5,Night,3.7307566795498146,-16.044440879013138,-19.244440167902184,2
5459,2014,0.782421,13.0,5.0,6.0588,12.0,0.7034517815336584,11.0,4.250362016260624,0.335937,7.0,0.0,29.6429,8.0,0.2953079957514999,6.0,0.7876126132905482,1,False,False,0,1,6,1,2,3,0,0,4,1,Night,3.974195651337505,-16.54347466446203,-19.10869149811054,2
5460,2014,0.830133,11.0,5.0,9.125,12.0,0.6725709363818168,7.0,2.4533908944576974,1.39097,12.0,9.0,7.0345,21.0,0.5487488582730294,9.0,2.6390766538679595,4,False,True,2,4,2,7,7,1,4,0,1,4,Night,2.2439201226457954,-16.659570923495547,-19.021272548665415,0
