gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeGoalsHalfTime,awayGoalsHalfTime,home_xGoals,home_shots,home_shotsOnTarget,home_deep,home_ppda,home_fouls,home_corners,home_yellowCards,home_redCards,home_total_assists,home_total_xAssists,home_total_key_passes,home_total_xGoalsChain,home_total_xGoalsBuildup,home_total_yellow_cards,home_total_red_cards,home_total_blocked_shots,home_total_saved_shots,away_xGoals,away_shots,away_shotsOnTarget,away_deep,away_ppda,away_fouls,away_corners,away_yellowCards,away_redCards,away_total_assists,away_total_xAssists,away_total_key_passes,away_total_xGoalsChain,away_total_xGoalsBuildup,away_total_yellow_cards,away_total_red_cards,away_total_blocked_shots,away_total_saved_shots,gameresult
125,1,2015,2015-09-12 18:00:00,76,74,0,0,0,0,0.409143,8,1,5,20.4118,5,4,1.0,0,0,0.35865541175007853,7,0.8238194948062308,0.35161272902041674,1,0,3.0,1.0,1.00731,15,4,7,8.5556,5,5,0.0,0,0,0.9645462874323126,14,3.697155594825745,2.1778787449002275,0,0,5.0,4.0,D
126,1,2015,2015-09-12 18:00:00,79,73,3,1,1,0,1.33151,12,4,7,9.9615,10,4,2.0,0,2,1.2052888628095388,9,5.818173563107847,4.315982904285196,2,0,0.0,1.0,0.389495,7,2,3,11.6316,11,4,3.0,0,1,0.3894950840622183,7,0.6552298758178945,0.48706676997244336,3,0,2.0,1.0,H
127,1,2015,2015-09-12 20:30:00,89,87,3,1,0,0,1.46206,9,3,4,9.7778,6,4,1.0,0,2,0.6078366888687015,6,1.5394769161939623,0.4956453312188387,1,0,3.0,0.0,1.02572,8,4,5,14.4762,11,4,2.0,0,0,0.9117760304361582,6,0.6785533726215363,0.4130189046263695,2,0,1.0,2.0,H
128,1,2015,2015-09-13 16:30:00,77,82,0,1,0,0,1.0407,12,2,4,12.0556,11,6,2.0,0,0,0.9808861678466194,10,3.6851006709039216,1.6833912134170532,2,0,5.0,2.0,1.45615,15,4,12,5.1724,12,8,1.0,0,1,1.3768171388655905,13,7.657001534476883,6.129995794966817,1,0,5.0,3.0,A
129,1,2015,2015-09-13 19:00:00,75,71,3,2,0,1,1.34987,21,6,11,7.1515,8,4,2.0,0,3,1.1781279062852257,17,4.375313432887195,2.741272559389472,2,0,6.0,3.0,0.953181,11,4,5,8.4091,13,5,1.0,0,2,0.8944229241460562,10,2.14301186800003,0.699221923947334,1,0,4.0,2.0,H
130,1,2015,2015-09-14 23:00:00,81,86,2,0,1,0,1.71282,17,3,4,11.72,8,6,0.0,0,1,1.207476353272796,13,4.454906452447173,1.834572054445745,0,0,6.0,1.0,0.716599,14,4,4,8.2222,11,7,2.0,0,0,0.5544001245871181,8,3.049576850607991,1.837672769092023,2,0,5.0,4.0,H
131,1,2015,2015-09-19 15:45:00,80,83,2,0,0,0,2.0687,22,6,14,6.0938,12,5,3.0,0,1,1.9281405303627233,20,6.878423545509585,4.789962101727729,3,0,13.0,5.0,0.775312,9,2,5,13.1818,11,5,1.0,2,0,0.1864453181624413,5,1.1474025612697003,0.3676654351875192,2,2,3.0,2.0,H
132,1,2015,2015-09-19 18:00:00,86,90,1,2,0,2,1.15114,15,5,7,9.4444,8,5,1.0,0,1,1.0137037970125675,12,3.1312816925346842,1.3061092831194399,1,0,3.0,4.0,1.33961,13,4,10,7.5946,12,5,2.0,0,2,1.3186567556113005,12,6.8819348141551,4.3057861905545,2,0,3.0,2.0,A
133,1,2015,2015-09-19 18:00:00,71,76,0,1,0,1,0.876719,13,3,5,6.12,10,2,2.0,0,0,0.5633507156744598,7,2.8329981490969667,1.7048192862421274,2,0,5.0,3.0,0.632761,11,6,2,8.4138,11,7,3.0,0,1,0.6350823119282719,11,1.4578099027276041,0.2439936585724354,3,0,3.0,5.0,A
134,1,2015,2015-09-19 18:00:00,73,77,2,0,2,0,0.644335,15,5,7,8.5185,14,7,2.0,0,1,0.4427597839385276,13,1.615105647593738,0.9446707516908656,2,0,6.0,3.0,0.854867,9,2,2,9.2692,15,3,4.0,1,0,0.4539639269933105,5,0.8410530397668478,0.3192278249189257,4,1,4.0,2.0,H
